word,level,difficulty,meaning_zh,pos,topic,example,example_zh,parts_json,note,is_basic,accepted,source
foggy,KET,1,有雾的,adj.,自然与天气,Drive slowly on a foggy morning.,有雾的早晨开车要慢。,"[{""text"": ""fog"", ""kind"": ""root"", ""meaning"": ""雾""}, {""text"": ""-y"", ""kind"": ""suffix"", ""meaning"": ""有……特征的""}]",sunny、foggy 双写末尾辅音；noisy 去掉 noise 的 e。只留意本词适用的变化。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
storm,KET,2,暴风雨,n.,自然与天气,We stay inside during the storm.,暴风雨时我们待在室内。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
thunderstorm,KET,3,雷暴,n.,自然与天气,A thunderstorm wakes me up.,雷暴把我吵醒了。,"[{""text"": ""thunder"", ""kind"": ""compound"", ""meaning"": ""雷""}, {""text"": ""storm"", ""kind"": ""compound"", ""meaning"": ""暴风雨""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
raincoat,KET,1,雨衣,n.,自然与天气,Take your raincoat to school.,把雨衣带去学校。,"[{""text"": ""rain"", ""kind"": ""compound"", ""meaning"": ""雨""}, {""text"": ""coat"", ""kind"": ""compound"", ""meaning"": ""外套""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
forest,KET,1,森林,n.,自然与天气,A river runs through the forest.,一条河流穿过森林。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
mountain,KET,1,山,n.,自然与天气,The mountain is covered in snow.,这座山覆盖着白雪。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
island,KET,1,岛屿,n.,自然与天气,They visit an island by boat.,他们乘船游览一座岛屿。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
lake,KET,1,湖,n.,自然与天气,We have a picnic beside the lake.,我们在湖边野餐。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
river,KET,1,河流,n.,自然与天气,The river is wide here.,这里的河面很宽。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
beach,KET,1,海滩,n.,自然与天气,The children play on the beach.,孩子们在海滩上玩。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
field,KET,2,田野；场地,n.,自然与天气,There are sheep in the field.,田野里有羊。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
countryside,KET,3,乡村,n.,自然与天气,We cycle through the countryside.,我们骑车穿过乡村。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
environment,KET,3,环境,n.,自然与天气,We can help the environment.,我们可以帮助保护环境。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
plant,KET,2,植物；种植,n.; v.,自然与天气,Let's plant a tree today.,我们今天种一棵树吧。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
flower,KET,1,花,n.,自然与天气,This flower smells lovely.,这朵花闻起来很香。,[],本课整体记忆。相同字母不等于相同词根；请结合例句回忆实际含义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
grass,KET,1,草,n.,自然与天气,The grass is wet this morning.,今天早晨草是湿的。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
spring,KET,1,春天,n.,自然与天气,The garden is colourful in spring.,花园在春天色彩缤纷。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
summer,KET,1,夏天,n.,自然与天气,We swim in summer.,我们夏天游泳。,[],本课整体记忆。相同字母不等于相同词根；请结合例句回忆实际含义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
autumn,KET,1,秋天,n.,自然与天气,The leaves turn yellow in autumn.,树叶在秋天变黄。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,fall,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
winter,KET,1,冬天,n.,自然与天气,We wear warm coats in winter.,我们冬天穿暖和的外套。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
temperature,KET,3,温度,n.,自然与天气,The temperature drops at night.,夜晚温度下降。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
animal,KET,1,动物,n.,动物世界,What animal would you like to see?,你想看什么动物？,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
elephant,KET,1,大象,n.,动物世界,The elephant has large ears.,大象有大耳朵。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
giraffe,KET,1,长颈鹿,n.,动物世界,The giraffe eats leaves.,长颈鹿吃树叶。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
dolphin,KET,1,海豚,n.,动物世界,A dolphin swims beside the boat.,一只海豚在船旁游泳。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
whale,KET,1,鲸,n.,动物世界,We see a whale in the sea.,我们在海里看见一条鲸。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
penguin,KET,1,企鹅,n.,动物世界,The penguin jumps into the water.,企鹅跳进水里。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
rabbit,KET,1,兔子,n.,动物世界,Our rabbit has long ears.,我们的兔子有长耳朵。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
parrot,KET,1,鹦鹉,n.,动物世界,The parrot can say my name.,这只鹦鹉会说我的名字。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
butterfly,KET,1,蝴蝶,n.,动物世界,A butterfly lands on a flower.,一只蝴蝶落在花上。,[],本课整体记忆。相同字母不等于相同词根；请结合例句回忆实际含义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
insect,KET,2,昆虫,n.,动物世界,This insect has six legs.,这只昆虫有六条腿。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
spider,KET,1,蜘蛛,n.,动物世界,A spider is behind the chair.,一只蜘蛛在椅子后面。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
snake,KET,1,蛇,n.,动物世界,The snake moves through the grass.,蛇在草丛里移动。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
tiger,KET,1,老虎,n.,动物世界,The tiger has orange and black stripes.,老虎有橙黑相间的条纹。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
lion,KET,1,狮子,n.,动物世界,The lion is resting under a tree.,狮子在树下休息。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
monkey,KET,1,猴子,n.,动物世界,The monkey climbs a tree.,猴子爬上了一棵树。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
mouse,KET,1,老鼠,n.,动物世界,A mouse runs behind the box.,一只老鼠跑到箱子后面。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
sheep,KET,1,绵羊,n.,动物世界,A sheep stands near the gate.,一只绵羊站在门边。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
horse,KET,1,马,n.,动物世界,The horse runs across the field.,马跑过田野。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
football,KET,1,足球,n.,运动与兴趣,We play football after school.,我们放学后踢足球。,"[{""text"": ""foot"", ""kind"": ""compound"", ""meaning"": ""脚""}, {""text"": ""ball"", ""kind"": ""compound"", ""meaning"": ""球""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,soccer,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
basketball,KET,1,篮球,n.,运动与兴趣,My sister enjoys basketball.,我的姐姐喜欢篮球。,"[{""text"": ""basket"", ""kind"": ""compound"", ""meaning"": ""篮""}, {""text"": ""ball"", ""kind"": ""compound"", ""meaning"": ""球""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
volleyball,KET,1,排球,n.,运动与兴趣,We play volleyball on the beach.,我们在海滩上打排球。,"[{""text"": ""volley"", ""kind"": ""compound"", ""meaning"": ""空中击球""}, {""text"": ""ball"", ""kind"": ""compound"", ""meaning"": ""球""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
badminton,KET,1,羽毛球,n.,运动与兴趣,He plays badminton with his dad.,他和爸爸打羽毛球。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
tennis,KET,1,网球,n.,运动与兴趣,I have a tennis lesson today.,我今天有一节网球课。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
skateboard,KET,3,滑板,n.,运动与兴趣,Always wear a helmet on a skateboard.,玩滑板时一定要戴头盔。,"[{""text"": ""skate"", ""kind"": ""compound"", ""meaning"": ""滑行""}, {""text"": ""board"", ""kind"": ""compound"", ""meaning"": ""板""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
surfboard,KET,3,冲浪板,n.,运动与兴趣,She carries her surfboard to the beach.,她把冲浪板带到海滩。,"[{""text"": ""surf"", ""kind"": ""compound"", ""meaning"": ""冲浪""}, {""text"": ""board"", ""kind"": ""compound"", ""meaning"": ""板""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
swimming,KET,1,游泳,n.,运动与兴趣,Swimming is fun in summer.,夏天游泳很有趣。,"[{""text"": ""swim"", ""kind"": ""root"", ""meaning"": ""游泳""}, {""text"": ""-ing"", ""kind"": ""suffix"", ""meaning"": ""把动作当作活动或事物来表达""}]",本课选用名词用法。swimming 双写 m；cycling 去掉 cycle 末尾的 e。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
cycling,KET,2,骑自行车运动,n.,运动与兴趣,We go cycling in the park.,我们去公园骑自行车。,"[{""text"": ""cycle"", ""kind"": ""root"", ""meaning"": ""骑车""}, {""text"": ""-ing"", ""kind"": ""suffix"", ""meaning"": ""把动作当作活动或事物来表达""}]",本课选用名词用法。swimming 双写 m；cycling 去掉 cycle 末尾的 e。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
fishing,KET,1,钓鱼,n.,运动与兴趣,Grandpa takes me fishing.,爷爷带我去钓鱼。,"[{""text"": ""fish"", ""kind"": ""root"", ""meaning"": ""钓鱼""}, {""text"": ""-ing"", ""kind"": ""suffix"", ""meaning"": ""把动作当作活动或事物来表达""}]",本课选用名词用法。swimming 双写 m；cycling 去掉 cycle 末尾的 e。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
camping,KET,2,露营,n.,运动与兴趣,Our family goes camping in June.,我们一家六月去露营。,"[{""text"": ""camp"", ""kind"": ""root"", ""meaning"": ""露营""}, {""text"": ""-ing"", ""kind"": ""suffix"", ""meaning"": ""把动作当作活动或事物来表达""}]",本课选用名词用法。swimming 双写 m；cycling 去掉 cycle 末尾的 e。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
climbing,KET,2,攀登；攀岩,n.,运动与兴趣,Climbing is my new hobby.,攀岩是我的新爱好。,"[{""text"": ""climb"", ""kind"": ""root"", ""meaning"": ""攀登""}, {""text"": ""-ing"", ""kind"": ""suffix"", ""meaning"": ""把动作当作活动或事物来表达""}]",本课选用名词用法。swimming 双写 m；cycling 去掉 cycle 末尾的 e。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
painting,KET,1,绘画；画作,n.,运动与兴趣,This painting shows a garden.,这幅画画的是花园。,"[{""text"": ""paint"", ""kind"": ""root"", ""meaning"": ""绘画""}, {""text"": ""-ing"", ""kind"": ""suffix"", ""meaning"": ""把动作当作活动或事物来表达""}]",本课选用名词用法。swimming 双写 m；cycling 去掉 cycle 末尾的 e。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
drawing,KET,1,绘画；图画,n.,运动与兴趣,I make a drawing of my dog.,我画了一张我的狗的画像。,"[{""text"": ""draw"", ""kind"": ""root"", ""meaning"": ""画""}, {""text"": ""-ing"", ""kind"": ""suffix"", ""meaning"": ""把动作当作活动或事物来表达""}]",本课选用名词用法。swimming 双写 m；cycling 去掉 cycle 末尾的 e。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
reading,KET,1,阅读,n.,运动与兴趣,Reading helps me relax.,阅读帮助我放松。,"[{""text"": ""read"", ""kind"": ""root"", ""meaning"": ""阅读""}, {""text"": ""-ing"", ""kind"": ""suffix"", ""meaning"": ""把动作当作活动或事物来表达""}]",本课选用名词用法。swimming 双写 m；cycling 去掉 cycle 末尾的 e。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
sing,KET,1,唱歌,v.,运动与兴趣,Let's sing the song again.,我们再唱一遍这首歌吧。,"[{""text"": ""sing"", ""kind"": ""root"", ""meaning"": ""唱""}]",结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
dance,KET,1,跳舞；舞蹈,v.; n.,运动与兴趣,Can you dance to this music?,你能跟着这段音乐跳舞吗？,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
guitar,KET,1,吉他,n.,运动与兴趣,My brother plays the guitar.,我的哥哥弹吉他。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
piano,KET,1,钢琴,n.,运动与兴趣,There is a piano in our classroom.,我们的教室里有一架钢琴。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
violin,KET,3,小提琴,n.,运动与兴趣,She practises the violin every day.,她每天练习小提琴。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
concert,KET,3,音乐会,n.,运动与兴趣,We go to a concert on Saturday.,我们星期六去听音乐会。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
festival,KET,3,节日；庆典,n.,运动与兴趣,The town has a music festival.,镇上有一个音乐节。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
competition,KET,3,比赛,n.,运动与兴趣,Our school has a drawing competition.,我们学校举办绘画比赛。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
winner,KET,2,获胜者,n.,运动与兴趣,The winner gets a book.,获胜者得到一本书。,"[{""text"": ""win"", ""kind"": ""root"", ""meaning"": ""赢""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",注意拼写：末尾辅音字母双写后再接 -er。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
prize,KET,2,奖品,n.,运动与兴趣,I won a prize for my story.,我写的故事获奖了。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
team,KET,1,队；团队,n.,运动与兴趣,Our team wears blue shirts.,我们队穿蓝色衬衫。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
match,KET,1,比赛,n.,运动与兴趣,The match starts at three.,比赛三点开始。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
hobby,KET,1,爱好,n.,运动与兴趣,Tell me about your favourite hobby.,和我说说你最喜欢的爱好。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
collect,KET,2,收集,v.,运动与兴趣,I collect postcards.,我收集明信片。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
headache,KET,2,头痛,n.,身体与健康,I have a headache today.,我今天头痛。,"[{""text"": ""head"", ""kind"": ""compound"", ""meaning"": ""头""}, {""text"": ""ache"", ""kind"": ""compound"", ""meaning"": ""疼痛""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
toothache,KET,2,牙痛,n.,身体与健康,He cannot eat because of a toothache.,他因为牙痛吃不下东西。,"[{""text"": ""tooth"", ""kind"": ""compound"", ""meaning"": ""牙""}, {""text"": ""ache"", ""kind"": ""compound"", ""meaning"": ""疼痛""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
stomach,KET,2,胃；腹部,n.,身体与健康,My stomach hurts.,我的肚子疼。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
finger,KET,1,手指,n.,身体与健康,She points with one finger.,她用一根手指指着。,[],本课整体记忆。相同字母不等于相同词根；请结合例句回忆实际含义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
neck,KET,1,脖子,n.,身体与健康,Wear a scarf around your neck.,在脖子上围一条围巾。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
healthy,KET,1,健康的,adj.,身体与健康,Sleep helps us stay healthy.,睡眠帮助我们保持健康。,"[{""text"": ""health"", ""kind"": ""root"", ""meaning"": ""健康""}, {""text"": ""-y"", ""kind"": ""suffix"", ""meaning"": ""有……特征的""}]",sunny、foggy 双写末尾辅音；noisy 去掉 noise 的 e。只留意本词适用的变化。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
ill,KET,1,生病的,adj.,身体与健康,My friend is ill today.,我的朋友今天生病了。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
medicine,KET,3,药,n.,身体与健康,Keep the medicine in a safe place.,把药放在安全的地方。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
hospital,KET,1,医院,n.,身体与健康,My aunt works in a hospital.,我的姑姑在医院工作。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
ambulance,KET,3,救护车,n.,身体与健康,The ambulance arrives quickly.,救护车很快就到了。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
appointment,KET,3,预约,n.,身体与健康,I have a dentist appointment tomorrow.,我明天预约了牙医。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
exercise,KET,2,锻炼；练习,n.; v.,身体与健康,A walk is good exercise.,散步是一种很好的锻炼。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
rest,KET,1,休息,n.; v.,身体与健康,Let's rest under this tree.,我们在这棵树下休息吧。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
hurt,KET,2,受伤；疼痛,v.,身体与健康,My feet hurt after the walk.,走路后我的脚疼。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
accident,KET,3,意外；事故,n.,身体与健康,He broke the cup by accident.,他不小心打碎了杯子。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
sweater,KET,1,毛衣,n.,衣服与购物,This sweater is warm.,这件毛衣很暖和。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
jacket,KET,1,夹克,n.,衣服与购物,Take a jacket for the evening.,带件夹克晚上穿。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
trousers,KET,1,裤子,n.,衣服与购物,His trousers are too long.,他的裤子太长了。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
jeans,KET,1,牛仔裤,n.,衣服与购物,I wear jeans at the weekend.,我周末穿牛仔裤。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
shorts,KET,1,短裤,n.,衣服与购物,These shorts are good for running.,这条短裤适合跑步。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
skirt,KET,1,裙子,n.,衣服与购物,She chooses a green skirt.,她选了一条绿色的裙子。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
scarf,KET,1,围巾,n.,衣服与购物,Grandma made me a scarf.,奶奶给我做了一条围巾。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
glove,KET,1,手套,n.,衣服与购物,I lost one glove in the park.,我在公园丢了一只手套。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
sock,KET,1,袜子,n.,衣服与购物,There is a sock under the bed.,床底下有一只袜子。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
boot,KET,1,靴子,n.,衣服与购物,One boot is full of water.,一只靴子里都是水。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
sunglasses,KET,1,太阳镜,n.,衣服与购物,Wear sunglasses in bright sunshine.,阳光强烈时戴太阳镜。,"[{""text"": ""sun"", ""kind"": ""compound"", ""meaning"": ""太阳""}, {""text"": ""glasses"", ""kind"": ""compound"", ""meaning"": ""眼镜""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
handbag,KET,1,手提包,n.,衣服与购物,Her keys are in her handbag.,她的钥匙在手提包里。,"[{""text"": ""hand"", ""kind"": ""compound"", ""meaning"": ""手""}, {""text"": ""bag"", ""kind"": ""compound"", ""meaning"": ""包""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
backpack,KET,1,背包,n.,衣服与购物,Put your lunch in your backpack.,把午饭放进背包。,"[{""text"": ""back"", ""kind"": ""compound"", ""meaning"": ""背""}, {""text"": ""pack"", ""kind"": ""compound"", ""meaning"": ""包""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
pocket,KET,1,口袋,n.,衣服与购物,My ticket is in my pocket.,我的票在口袋里。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
